 ,,,,,,,,,,Dimensions,Measures,,,,,,,,
Month,Week 1,Week 2,Week 3,Week 4,Week 5,Monthly Avg/Sunday,Sum Per Month,,,Year,Attendees,,,,,,,,
June,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
July,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
August,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
September,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
October,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
November,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,
,,,,,,#DIV/0!,6,71,,,,,,,,,,,
Prayer Requests,,,,,,,,,,,,,,,,,,,
Month,Week 1,Week 2,Week 3,Week 4,Week 5,Average/Week,Sum Per Month,,,Year,RequestingPrayer,,,,,,,,
January,1,1,1,0,,1,9,,,Month,,,,,,,,,
February,4,2,2,7,,4,9,,,Week,,,,,,,,,
March,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
April,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
May,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
June,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
July,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
August,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
September,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
October,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
November,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,
,,,,,,#DIV/0!,2,18,,,,,,,,,,,
Sunday AM Meditation,,,,,,,,,,Year,AttendingMeditation,,,,,,,,
Month,Week 1,Week 2,Week 3,Week 4,Week 5,Average/Week,Sum Per Month,,,Month,,,,,,,,,
January,9,10,12,3,,9,34,,,Week,,,,,,,,,
February,13,8,9,12,,11,42,,,,,,,,,,,,
March,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
April,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
May,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
June,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
July,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
August,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
September,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
October,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
November ,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
December,,,,,,#DIV/0!,,,,,,,,,,,,,
,,,,,,#DIV/0!,7,76,,,,,,,,,,,
Facebook - 2018,,,,,,,,,,,,,,,,,,,
Month,Followers,Engagements,Impressions,Video Views,,,,,,Year,Followers,,,,,,,,
September,"6,422","2,054","150,646",4.6k,,,,,,Month,Engagements,,,,,,,,
October,"6,461","1,444","62,361",4.3k,,,,,,SocialMediaPlatform,Impresssions,,,,,,,,
November ,"6,518","1,992","87,939",6.1k,,,,,,,VideoViews,,,,,,,,
December,"6,607","2,551","104,982",6.4k,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Instagram - 2018,,,,,,,,,,,,,,,,,,,
Month,Followers,Engagements,Impressions,,,,,,,,,,,,,,,,
September,"2,270",438,"33,459",,,,,,,,,,,,,,,,
October,"2,319",583,"24,975",,,,,,,,,,,,,,,,
November ,"2,381",613,"37,704",,,,,,,,,,,,,,,,
December,"2,435","1,075","104,982",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Twitter Likes,,,,,,,,,,Year,TwitterFollowers,,,,,,,,
Month,Week 1,Week 2,Week 3,Week 4,Week 5,Average/Week,Sum Per Month,,,Month,TwitterLikes,,,,,,,,
September,,,,,,,,,,Week,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,
November ,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Twitter Followers,,,,,,,,,,,,,,,,,,,
Month,Week 1,Week 2,Week 3,Week 4,Week 5,Average/Week,Sum Per Month,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,
November ,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,
